model,accuracy,precision,recall,f1,roc_auc
Bagging,0.8115384615384615,0.8512332112332113,0.8115384615384615,0.8047367338543809,0.8583333333333334
Stacking_ANOVA_RF_SVM_MLP,0.7948717948717949,0.8143376068376067,0.7948717948717949,0.790887445887446,0.8436507936507937
Voting_All,0.7961538461538462,0.8316666666666667,0.7961538461538462,0.7898368298368299,
Ada,0.7961538461538462,0.8320024420024421,0.7961538461538462,0.7894755244755245,0.8730158730158731
Stacking_GB_RF,0.7807692307692308,0.8065445665445665,0.7807692307692308,0.7756458247634719,0.8047619047619048
Stacking_RF_Meta,0.7807692307692308,0.8215750915750915,0.7807692307692308,0.7728902470078941,0.769047619047619
Stacking_Bagging_Boosting,0.7807692307692309,0.8183516483516484,0.7807692307692309,0.7722540204893147,0.8785714285714287
Stacking_SVM_RF_XGB,0.7794871794871795,0.8127991452991452,0.7794871794871795,0.7718829210005681,0.8539682539682539
XGB,0.7794871794871795,0.8127991452991452,0.7794871794871795,0.7718829210005681,0.880952380952381
GB,0.7653846153846153,0.7983300033300033,0.7653846153846153,0.7555688755688756,0.846031746031746
LGB,0.75,0.7721978021978022,0.75,0.7441789582966054,0.8595238095238095
LR,0.7474358974358976,0.7685531135531136,0.7474358974358976,0.7421212121212122,0.776984126984127
Stacking,0.7487179487179487,0.7701007326007326,0.7487179487179487,0.7420743961920433,0.8150793650793652
RF,0.717948717948718,0.7301007326007326,0.717948717948718,0.7147519147519147,0.8095238095238095
Voting_SVM_KNN_GB,0.7166666666666667,0.7350915750915752,0.7166666666666667,0.7120979020979021,
Perceptron,0.7166666666666667,0.7161355311355311,0.7166666666666667,0.7051432880844646,
DT,0.717948717948718,0.7670937395937396,0.717948717948718,0.7050860250860251,0.719047619047619
KNN,0.7025641025641025,0.7152564102564102,0.7025641025641025,0.7005328005328005,0.7357142857142858
ET,0.7012820512820512,0.7212087912087913,0.7012820512820512,0.6984615384615385,0.7968253968253969
Voting_Selected,0.7,0.7153846153846154,0.7,0.6983216783216784,
Ridge,0.6974358974358975,0.6745054945054946,0.6974358974358975,0.6796503496503498,
LinearSVC,0.6833333333333333,0.686043956043956,0.6833333333333333,0.6725369075369076,
SGD,0.6820512820512821,0.6996367521367521,0.6820512820512821,0.6706075297251768,
GNB,0.6705128205128206,0.6843223443223444,0.6705128205128206,0.6661571761571762,0.780952380952381
NuSVC,0.6538461538461539,0.6756043956043956,0.6538461538461539,0.6461346496640614,0.7579365079365079
SVC,0.6384615384615385,0.6538461538461539,0.6384615384615385,0.6367832167832168,0.742063492063492
MLP,0.6243589743589744,0.6506837606837608,0.6243589743589744,0.6138128538128538,0.6531746031746032
